domain,feature_id,feature_name,product,support_status,masterscript_status,gap_type,severity,confidence,actionable_gap,by_design,dependency,evidence_source,evidence_note,measurable_points_count
Catalog,catalog.character_profiles,Character profiles with attributes,Final Draft,partial,missing,missing,medium,high,true,false,catalog.auto_detection,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/types/screenplay.ts (CatalogEntry has only kind, name, notes) | src/App.tsx (catalog table has no structured profile fields)",10
General,general.scene_tagging,Scene tagging and filters,Celtx,supported,missing,missing,medium,medium,true,false,writing.scene_numbering,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (no scene tag model) | src/App.tsx (no scene filter by custom tags),10
General,general.scene_tagging,Scene tagging and filters,Kit Scenarist,partial,missing,missing,medium,medium,true,false,writing.scene_numbering,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (no scene tag model) | src/App.tsx (no scene filter by custom tags),10
General,general.scene_tagging,Scene tagging and filters,Final Draft,supported,missing,missing,medium,medium,true,false,writing.scene_numbering,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (no scene tag model) | src/App.tsx (no scene filter by custom tags),10
General,general.light_theme_toggle,Light and dark theme toggle,Celtx,supported,partial,incomplete,low,high,true,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/index.css and src/App.css (single cinematic dark styling path) | src/App.tsx (no theme preference control),10
General,general.light_theme_toggle,Light and dark theme toggle,Kit Scenarist,supported,partial,incomplete,low,high,true,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/index.css and src/App.css (single cinematic dark styling path) | src/App.tsx (no theme preference control),10
General,general.light_theme_toggle,Light and dark theme toggle,Final Draft,supported,partial,incomplete,low,high,true,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/index.css and src/App.css (single cinematic dark styling path) | src/App.tsx (no theme preference control),10
Persistence,persistence.cloud_sync,Cloud sync and multi-device continuity,Celtx,supported,missing,by_design,high,high,false,true,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,README.md (cloud sync intentionally out of scope) | electron/main.cjs (local filesystem and autosave only),0
Persistence,persistence.cloud_sync,Cloud sync and multi-device continuity,Kit Scenarist,supported,missing,by_design,high,high,false,true,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,README.md (cloud sync intentionally out of scope) | electron/main.cjs (local filesystem and autosave only),0
Persistence,persistence.cloud_sync,Cloud sync and multi-device continuity,Final Draft,supported,missing,by_design,high,high,false,true,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,README.md (cloud sync intentionally out of scope) | electron/main.cjs (local filesystem and autosave only),0
General,general.plugin_system,Plugin and extension system,Celtx,not_evident,missing,missing,low,low,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src and electron folders (no extension API, no plugin loader)",0
General,general.plugin_system,Plugin and extension system,Kit Scenarist,not_evident,missing,missing,low,low,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src and electron folders (no extension API, no plugin loader)",0
General,general.plugin_system,Plugin and extension system,Final Draft,not_evident,missing,missing,low,low,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src and electron folders (no extension API, no plugin loader)",0
